WSRace,Year,WSPosition,WSName,WSClub,WSClass,WSTime,WSDecimalTime,WSNotes
D,1978,9,"Jonston B & Elsey C","Wey & Lincoln ","K2 Senior",05:44:15,5.73,.
A,1978,10,"Kirshner M",Boarc,"K2 Senior",02:00:10,2.00,.
B,1978,10,"Spencer A & Mcgladdery G M","Hereford Kc","K2 Senior",02:58:54,2.97,.
C,1978,10,"Stainsby A & Magness D","Met Police ","K2 Senior",03:41:27,3.68,.
D,1978,10,"Gale K A & Clements R A","35Th Norwich Sea Scouts","K2 Senior",05:44:35,5.73,.
A,1978,11,"Gollings M & Morgan B A","Wolverhampton ","K2 Senior",02:01:30,2.02,.
B,1978,11,"Wilkins ? & Fisher ?","Reme & Para","K2 Senior",03:01:55,3.02,.
C,1978,11,"",Recc,"K2 Senior",03:41:40,3.68,.
D,1978,11,"Chandler M A & Barge M",Rnka,"K2 Senior",05:51:05,5.85,.
A,1978,12,"Brown M & Gould T","Newbury .","K2 Senior",02:03:02,2.05,.
B,1978,12,"Witt R A & Witt H A","12Th Ruislip Vsu","K2 Senior",03:03:23,3.05,.
B,1978,12,"",Unknown,"K2 Senior",03:27:25,3.45,.
C,1978,12,"Davies T & Drew A","Newbury ","K2 Senior",03:41:45,3.68,.
D,1978,12,"Ince A J & Sage J W","21 (Artists)","K2 Senior",05:53:20,5.88,.
A,1978,13,"Davies T & Drew A","Newbury ","K2 Senior",02:04:33,2.07,.
B,1978,13,"Edwards R & Edwards D","Longridge ","K2 Mixed",03:04:20,3.07,.
C,1978,13,"Story R & Speck J",Acu,"K2 Senior",03:42:52,3.70,.
D,1978,13,"Love D & Hill G","Chichester ","K2 Senior",05:56:10,5.93,.
A,1978,14,"Story R & Speck J",Acu,"K2 Senior",02:04:52,2.07,.
B,1978,14,"Gehnich P & Blumson R","City Of London Police","K2 Senior",03:05:19,3.08,.
C,1978,14,"Wilkins ? & Fisher ?","Reme & Para","K2 Senior",03:44:20,3.73,.
D,1978,14,"Compton M & Bradden N","St Austel Scout ","K2 Senior",05:57:50,5.95,.
A,1978,15,"Stainsby A & Magness D","Met Police ","K2 Senior",02:07:00,2.12,.
B,1978,15,"Jonston B & Elsey C","Wey & Lincoln ","K2 Senior",03:05:50,3.08,.
C,1978,15,"Jonston B & Elsey C","Wey & Lincoln ","K2 Senior",03:47:10,3.78,.
