WSRace,Year,WSPosition,WSName,WSClub,WSClass,WSTime,WSDecimalTime,WSNotes
A,1990,15,"Middlehurst T",Elmbridge,"K1 Senior",02:00:38,2.00,.
A,1990,15,"Mayer B & Lindley Michelle","Woodmill ","K2 Junior",02:31:25,2.52,.
B,1990,15,"Goodale P & Richards C","Rn/Rm & ","K2 Senior",02:41:40,2.68,.
B,1990,15,"Grewcock D C","Hawks & ","K1 Senior",03:02:21,3.03,.
C,1990,15,"Lowe P & Lowe G","Nottingham & ","K2 Senior",03:26:08,3.43,.
B,1990,15,"Leighton A & Mclaren D","Independent & ","K2 Junior",03:35:33,3.58,.
C,1990,15,"Mayer B & Lindley Michelle","Woodmill ","K2 Junior",04:13:09,4.22,.
C,1990,15,"Rigby D","R.L.P.  & ","K1 Senior",04:16:31,4.27,.
D,1990,15,"Nash C M & Peaile S","Independent & ","K2 Senior",05:48:05,5.80,.
D,1990,15,"Rigby D","R.L.P.  & ","K1 Senior",06:35:46,6.58,.
D,1990,15,"Dunn S & Howlett M","Barking & Dagenham & ","K2 Junior",07:00:55,7.00,.
A,1990,16,"Alberto D & Faunt A","Elmbridge & ","K2 Senior",01:58:07,1.97,.
A,1990,16,"Kent Richard","Woodmill  & ","K1 Senior",02:01:48,2.02,.
A,1990,16,"Jones S & Pice B","Bryanston School & ","K2 Junior",02:32:02,2.53,.
B,1990,16,"Gandy Michael & Parser J","Worcester  & ","K2 Senior",02:42:52,2.70,.
B,1990,16,"Sander P","Richmond & ","K1 Senior",03:06:43,3.10,.
C,1990,16,"Stanley Bryn & Hubbucks J","Falcon  & ","K2 Senior",03:26:46,3.43,.
B,1990,16,"Simpson C & Sheeham E","Metropolitan Police & ","K2 Junior",03:36:59,3.60,.
C,1990,16,"Ernes C R W","Hms Collingwood & ","K1 Senior",04:16:46,4.27,.
C,1990,16,"Agus R & Turner P A","Beachley ","K2 Junior",04:16:50,4.27,.
D,1990,16,"Woolsey R K & Stainsby J","Metropolitan Police","K2 Senior",05:50:17,5.83,.
D,1990,16,"Banks S W","Hemel Hempstead ","K1 Senior",06:48:12,6.80,.
D,1990,16,"Topham C & Dobbin J G","Princess Marina Col.","K2 Junior",07:08:15,7.13,.
A,1990,17,"Pearson S R & Brookes J M","Reme ","K2 Senior",01:59:03,1.98,.
A,1990,17,"Grassby R A","Mercia & ","K1 Senior",02:04:37,2.07,.
A,1990,17,"Agus R & Turner P A","Beachley ","K2 Junior",02:34:02,2.57,.
B,1990,17,"Richardson David & Terry P","Maidstone & ","K2 Senior",02:43:45,2.72,.
B,1990,17,"Ernes C R W","Hms Collingwood & ","K1 Senior",03:14:38,3.23,.
C,1990,17,"Windmill S A & Webner A","Hereford  & ","K2 Senior",03:31:51,3.52,.
B,1990,17,"Tweedle & Dook C D","Princess Marina Col.","K2 Junior",03:38:25,3.63,.
C,1990,17,"Baynham C S & Pualock M R","Nautical Training & ","K2 Junior",04:19:24,4.32,.
C,1990,17,"Banks S W","Hemel Hempstead ","K1 Senior",04:21:39,4.35,.
D,1990,17,"Hinds S & Beckett A J",Aylesbury,"K2 Senior",05:51:06,5.85,.
D,1990,17,"Ernes C R W","Hms Collingwood & ","K1 Senior",06:54:45,6.90,.
D,1990,17,"Travers X & Travera N","Poole Harbour & ","K2 Junior",07:19:04,7.32,.
A,1990,18,"Evans P & Jones P","Hereford  & ","K2 Senior",02:01:32,2.02,.
A,1990,18,"Courtier P","Independent & ","K1 Senior",02:05:38,2.08,.
A,1990,18,"Baynham C S & Pualock M R","Nautical Training","K2 Junior",02:36:20,2.60,.
B,1990,18,"Edwards Roger & Pearce Mark S",Longridge,"K2 Senior",02:45:31,2.75,.
B,1990,18,"Willis Stephen","Woodmill  & ","K1 Senior",03:14:44,3.23,.
C,1990,18,"Machin A & Wildish T","Rmcs  & ","K2 Senior",03:34:00,3.57,.
B,1990,18,"Agus R & Turner P A","Beachley ","K2 Junior",03:41:42,3.68,.
C,1990,18,"Jarvis R","Alyesbury & ","K1 Senior",04:22:16,4.37,.
C,1990,18,"Sandersons J","Bedford School  & ","K2 Junior",04:23:20,4.38,.
D,1990,18,"Marshall G W & Garland A","Rn/Rm & ","K2 Senior",05:51:20,5.85,.
D,1990,18,"Ramsay A D","Hms Neptune & ","K1 Senior",06:58:13,6.97,.
D,1990,18,"Ward P & Nash A S","Metropolitan Police & ","K2 Junior",07:20:36,7.33,.
A,1990,19,"Baker S & Childs R","Richmond  & ","K2 Senior",02:01:45,2.02,.
A,1990,19,"Prijon T","West Germany & ","K1 Senior",02:05:46,2.08,.
A,1990,19,"Simpson C & Sheeham E","Metropolitan Police & ","K2 Junior",02:39:32,2.65,.
B,1990,19,"Evans P & Jones P","Hereford  & ","K2 Senior",02:46:07,2.77,.
B,1990,19,"Carter S","Chester & ","K1 Senior",03:14:49,3.23,.
C,1990,19,"Edwards Roger & Pearce Mark S",Longridge,"K2 Senior",03:34:11,3.57,.
B,1990,19,"Sullivan G N & Finlayson I P J","Princess Marina Col.","K2 Junior",03:47:49,3.78,.
C,1990,19,"Travers T & Travers N","Poole Harbour & ","K2 Junior",04:26:23,4.43,.
C,1990,19,"Dark Alison","Bradford On Avon & ","K1 Senior",04:41:48,4.68,.
D,1990,19,"Wiltshire P D & Sutton N J","Metropolitan Police","K2 Senior",05:52:20,5.87,.
D,1990,19,"Jarvis R","Alyesbury & ","K1 Senior",07:13:37,7.22,.
D,1990,19,"Sullivan G N & Finlayson I P J","Princess Marina Col.","K2 Junior",07:29:10,7.48,.
A,1990,20,"Hinds S & Beckett A J",Aylesbury,"K2 Senior",02:02:00,2.03,.
A,1990,20,"Coleman A","Norwich Sea Scouts & ","K1 Senior",02:06:22,2.10,.
A,1990,20,"Cox M A R & Lawson D W M","Magdalen College","K2 Junior",02:42:50,2.70,.
B,1990,20,"Bryan T J & Hany M",Windsor,"K2 Senior",02:49:57,2.82,.
B,1990,20,"Rigby D","R.L.P.  & ","K1 Senior",03:17:19,3.28,.
C,1990,20,"Kershaw-Naylor & Speer","Rmcs ","K2 Senior",03:34:30,3.57,.
B,1990,20,"Ludford D & Viner J","Magdalen College & ","K2 Junior",03:50:17,3.83,.
C,1990,20,"Ickeringill K & Vaughan K","Beachley  & ","K2 Junior",04:27:01,4.45,.
C,1990,20,"Rive R","Marlow  & ","K1 Senior",04:43:01,4.72,.
D,1990,20,"Taylor M B & Taylor I R","Woodmill  & ","K2 Senior",05:52:45,5.87,.
D,1990,20,"Ashby G",Longridge,"K1 Senior",07:27:40,7.45,.
D,1990,20,"Wacrs S & Husband R","Fowey & ","K2 Junior",07:41:52,7.68,.
A,1990,21,"Gandy Michael & Parker J","Worcester  & ","K2 Senior",02:02:25,2.03,.
A,1990,21,"Treadgold James","Wokingham Scouts & ","K1 Senior",02:07:18,2.12,.
A,1990,21,"Shipley N & Luxon J F","Princess Marina Col.","K2 Junior",02:46:59,2.77,.
B,1990,21,"Woodruff R & Simmonds P P","Royal Air Force & ","K2 Senior",02:51:03,2.85,.
B,1990,21,"Bond P","Raf & ","K1 Senior",03:18:03,3.30,.
C,1990,21,"Wiltshire P D & Sutton N J","Metropolitan Police","K2 Senior",03:34:40,3.57,.
B,1990,21,"Travers T & Travers N","Poole Harbour & ","K2 Junior",03:50:38,3.83,.
C,1990,21,"Hughes A & Heaps A","Princess Marina Col. & ","K2 Junior",04:28:29,4.47,.
C,1990,21,"Ashby G",Longridge,"K1 Senior",04:44:43,4.73,.
D,1990,21,"M’Arthur J","Rnka & ","K2 Senior",05:53:35,5.88,.
D,1990,21,"Rive R","Marlow  & ","K1 Senior",07:27:58,7.45,.
D,1990,21,"Peel M & Howford K","Metropolitan Police & ","K2 Junior",07:43:03,7.72,.
A,1990,22,"Windmill S A & Webner A","Hereford  & ","K2 Senior",02:02:45,2.03,.
A,1990,22,"Chapman B","Glasgow Kayak C & ","K1 Senior",02:07:57,2.12,.
A,1990,22,"Benson A & Cloke T","Magdalen College & ","K2 Junior",02:47:34,2.78,.
B,1990,22,"Marshall G W & Garland A","Rn/Rm & ","K2 Senior",02:51:13,2.85,.
B,1990,22,"Turtle S","Reme  & ","K1 Senior",03:20:43,3.33,.
C,1990,22,"Marshall G W & Stewart A D",Ctc,"K2 Senior",03:36:05,3.60,.
B,1990,22,"Ward P & Nash A S","Metropolitan Police & ","K2 Junior",04:01:27,4.02,.
C,1990,22,"Mitchell A & Wood D","Bedford School ","K2 Junior",04:30:07,4.50,.
C,1990,22,"Elsmore J P","Barking & Dagenham & ","K1 Senior",04:54:55,4.90,.
D,1990,22,"Woodruff R & Simmonds P P","Royal Air Force & ","K2 Senior",05:57:05,5.95,.
D,1990,22,"Pipe A","Nomad & ","K1 Senior",07:33:33,7.55,.
D,1990,22,"Cox M A R & Lawson D W M","Magdalen College","K2 Junior",07:55:23,7.92,.
A,1990,23,"Hewlings David & Bagshaw Steve","Nottingham & ","K2 Senior",02:03:16,2.05,.
A,1990,23,"Jordon D","Maidstone & ","K1 Senior",02:09:16,2.15,.
A,1990,23,"Tweedle & Dook C D","Princess Marina Col.","K2 Junior",02:48:24,2.80,.
B,1990,23,"Stanley Bryn & Hubbucks J","Falcon  & ","K2 Senior",02:52:06,2.87,.
B,1990,23,"Banks S W","Hemel Hempstead ","K1 Senior",03:29:25,3.48,.
C,1990,23,"Nash C M & Peaile S","Independent & ","K2 Senior",03:36:40,3.60,.
B,1990,23,"Cox M A R & Lawson D W M","Magdalen College","K2 Junior",04:02:16,4.03,.
C,1990,23,"Sullivan G N & Finlayson I P J","Princess Marina Col.","K2 Junior",04:34:38,4.57,.
D,1990,23,"Smith M & Toothill C J","Maidstone & ","K2 Senior",05:57:06,5.95,.
D,1990,23,"Benson A & Cloke T","Magdalen College & ","K2 Junior",07:58:45,7.97,.
A,1990,24,"Goodale P & Richards C","Rn/Rm & ","K2 Senior",02:03:19,2.05,.
A,1990,24,"Blatchly A Mark","Maidstone & ","K1 Senior",02:10:45,2.17,.
A,1990,24,"Shew D & Clayton N","Trident Vsu & ","K2 Junior",02:50:58,2.83,.
B,1990,24,"Gilby P S & Davies M L","Rn/Rm & ","K2 Senior",02:52:09,2.87,.
B,1990,24,"Smith D","Maidstone  & ","K1 Senior",03:31:33,3.52,.
C,1990,24,"Hall M H & Spiller A G","Longridge & ","K2 Senior",03:39:10,3.65,.
B,1990,24,"Armstrong C A & Green S M",Independent,"K2 Junior",04:03:26,4.05,.
C,1990,24,"Cox M A R & Lawson D W M","Magdalen College","K2 Junior",04:36:12,4.60,.
D,1990,24,"Gilby P S & Davies M L","Rn/Rm & ","K2 Senior",05:57:45,5.95,.
D,1990,24,"Ludford D & Viner J","Magdalen College & ","K2 Junior",07:59:16,7.98,.
A,1990,25,"Edwards Roger & Pearce Mark S",Longridge,"K2 Senior",02:03:26,2.05,.
A,1990,25,"Daughters M J","Metropolitan Police & ","K1 Senior",02:12:32,2.20,.
B,1990,25,"Machin A & Wildish T","Rmcs  & ","K2 Senior",02:52:20,2.87,.
A,1990,25,"Peel M & Howford K","Metropolitan Police & ","K2 Junior",03:00:17,3.00,.
C,1990,25,"Mendham N & Hall D","Fladbury & ","K2 Senior",03:39:16,3.65,.
B,1990,25,"Jarvis R","Alyesbury & ","K1 Senior",03:41:51,3.68,.
B,1990,25,"Benson A & Cloke T","Magdalen College & ","K2 Junior",04:07:31,4.12,.
C,1990,25,"Peel M & Howford K","Metropolitan Police & ","K2 Junior",04:37:54,4.62,.
D,1990,25,"Harding J & Rust S","Leighton Buzzard  & ","K2 Senior",05:58:00,5.97,.
A,1990,26,"Hynds K M & Grimshaw C A","Elmbridge  & ","K2 Senior",02:04:29,2.07,.
A,1990,26,"Charters S","Exeter  & ","K1 Senior",02:13:50,2.22,.
B,1990,26,"Hinds S & Beckett A J",Aylesbury,"K2 Senior",02:53:05,2.88,.
A,1990,26,"Ludford D & Viner J","Magdalen College & ","K2 Junior",03:03:50,3.05,.
C,1990,26,"Woolsey R K & Stainsby J","Metropolitan Police","K2 Senior",03:39:28,3.65,.
B,1990,26,"Dark Alison","Bradford On Avon & ","K1 Senior",03:48:40,3.80,.
C,1990,26,"Ward P & Nash A S","Metropolitan Police & ","K2 Junior",04:40:28,4.67,.
D,1990,26,"Seward D & Quinton Stuart","Adventure Dolphin","K2 Senior",05:58:25,5.97,.
A,1990,27,"Stanley Bryn & Hubbucks J","Falcon  & ","K2 Senior",02:05:11,2.08,.
A,1990,27,"Carter S","Chester & ","K1 Senior",02:15:45,2.25,.
B,1990,27,"Windmill S A & Webner A","Hereford  & ","K2 Senior",02:53:24,2.88,.
A,1990,27,"Watts S & Husband R","Fowey & ","K2 Junior",03:04:52,3.07,.
C,1990,27,"Stiwchcombe & Williamson",Bristol,"K2 Senior",03:40:57,3.67,.
B,1990,27,"Ashby G",Longridge,"K1 Senior",03:54:14,3.90,.
C,1990,27,"Benson A & Cloke T","Magdalen College & ","K2 Junior",04:41:35,4.68,.
D,1990,27,"Stagg Richard V & Baker A","Cambridge  & ","K2 Senior",05:59:50,5.98,.
A,1990,28,"Green D & Smith R","Cambridge  & ","K2 Senior",02:05:25,2.08,.
A,1990,28,"Ager Richard","Leaside  & ","K1 Senior",02:16:05,2.27,.
B,1990,28,"Maycock D J & Green I","Reme  & ","K2 Senior",02:54:56,2.90,.
A,1990,28,"Boddy P & Boddy C","Adventure Dolphin & ","K2 Junior",03:31:47,3.52,.
C,1990,28,"M’Arthur J","Rnka & ","K2 Senior",03:42:11,3.70,.
B,1990,28,"Elsmore J P","Barking & Dagenham & ","K1 Senior",04:23:52,4.38,.
C,1990,28,"Ludford D & Viner J","Magdalen College & ","K2 Junior",04:42:32,4.70,.
D,1990,28,"Feldmanis E & Milner C","Reme  & ","K2 Senior",06:03:20,6.05,.
A,1990,29,"Smith D & Sergent I","Elmbridge  & ","K2 Senior",02:05:47,2.08,.
A,1990,29,"Sander P","Richmond & ","K1 Senior",02:17:06,2.28,.
B,1990,29,"Mendham N & Hall D","Fladbury & ","K2 Senior",02:55:35,2.92,.
C,1990,29,"Harding J & Rust S","Leighton Buzzard  & ","K2 Senior",03:42:18,3.70,.
C,1990,29,"Watts S & Husband R","Fowey & ","K2 Junior",04:46:36,4.77,.
D,1990,29,"Critchley D & Clarke K J","Rmcs ","K2 Senior",06:08:12,6.13,.
A,1990,30,"Johnston S C & Jackson S","Rn/Rm & ","K2 Senior",02:06:40,2.10,.
A,1990,30,"Grewcock D C","Hawks & ","K1 Senior",02:17:51,2.28,.
B,1990,30,"McArthur J C",Rnka,"K2 Senior",02:56:16,2.93,.
C,1990,30,"Feldroanis E & Milner C","Reme  & ","K2 Senior",03:42:56,3.70,.
C,1990,30,"Boddy P & Bales C","Adventure Dolphin & ","K2 Junior",04:49:48,4.82,.
D,1990,30,"Hoadley S & Humphries T","Maidstone  & ","K2 Senior",06:11:20,6.18,.
A,1990,31,"Machin A & Wildish T","Rmcs  & ","K2 Senior",02:07:03,2.12,.
A,1990,31,"Lancaster T","R.L.P.  & ","K1 Senior",02:18:26,2.30,.
B,1990,31,"Taylor M B & Taylor I R","Woodmill  & ","K2 Senior",02:59:17,2.98,.
C,1990,31,"Evans P & Jones P","Hereford  & ","K2 Senior",03:43:17,3.72,.
D,1990,31,"Swietochowski A S & Wilson S","Ealing ","K2 Senior",06:13:32,6.22,.
A,1990,32,"Maycock D J & Green I","Reme ","K2 Senior",02:07:04,2.12,.
A,1990,32,"Mitchell A","Richmond & ","K1 Senior",02:20:34,2.33,.
B,1990,32,"Hill Nigel & Finbow D",Tonbridge,"K2 Senior",02:59:30,2.98,.
C,1990,32,"Maycock D J & Green I","Reme  & ","K2 Senior",03:43:29,3.72,.
D,1990,32,"Johnston S C & Jackson S","Rn/Rm & ","K2 Senior",06:14:30,6.23,.
A,1990,33,"Woodruff R & Simraonds P","Royal Air Force & ","K2 Senior",02:07:18,2.12,.
A,1990,33,"Pendeny A","Royal  & ","K1 Senior",02:23:06,2.38,.
B,1990,33,"Hoadley S & Humphries T","Maidstone  & ","K2 Senior",03:00:05,3.00,.
C,1990,33,"Woodruff R & Simmonds P P","Royal Air Force & ","K2 Senior",03:43:44,3.72,.
D,1990,33,"Jagger Roger & Turtle","Reme ","K2 Senior",06:14:48,6.23,.
A,1990,34,"Toomey Paul & Badger J F","Longridge & ","K2 Senior",02:08:15,2.13,.
A,1990,34,"Ernes C R W","Hms Collingwood & ","K1 Senior",02:25:10,2.42,.
B,1990,34,"Toomey Paul & Badger J F","Longridge & ","K2 Senior",03:01:15,3.02,.
C,1990,34,"Hillyer D & Mochan C S","Rn/Rm & ","K2 Senior",03:44:39,3.73,.
D,1990,34,"Hillyer D & Mochan C S","Rn/Rm & ","K2 Senior",06:16:53,6.27,.
A,1990,35,"Bacon T & Rooney B","Nottingham & ","K2 Senior",02:08:44,2.13,.
A,1990,35,"Turtle S","Reme  & ","K1 Senior",02:25:58,2.42,.
B,1990,35,"Hall M H & Spiller A G","Longridge & ","K2 Senior",03:01:43,3.02,.
C,1990,35,"Taylor M B & Taylor I R","Woodmill  & ","K2 Senior",03:44:47,3.73,.
D,1990,35,"Underwood N & Stinton S","Independent & ","K2 Senior",06:18:45,6.30,.
A,1990,36,"Hall M H & Spiller A G","Longridge & ","K2 Senior",02:08:49,2.13,.
A,1990,36,"Mcdonnell 0","Hawks & ","K1 Senior",02:26:07,2.43,.
B,1990,36,"Ward & Hoirahawe","Rmcs ","K2 Senior",03:02:25,3.03,.
C,1990,36,"Gilby P S & Davies M L","Rn/Rm & ","K2 Senior",03:46:25,3.77,.
D,1990,36,"Williams D & Rermarshal P","Independent & ","K2 Senior",06:20:37,6.33,.
A,1990,37,"Wiltshire P D & Sutton N J","Metropolitan Police","K2 Senior",02:09:31,2.15,.
A,1990,37,"Booles K","Metropolitan Police & ","K1 Senior",02:26:23,2.43,.
B,1990,37,"Feldmanis E & Milner C","Reme  & ","K2 Senior",03:02:35,3.03,.
C,1990,37,"Toomey Paul & Badger J F","Longridge & ","K2 Senior",03:46:57,3.77,.
D,1990,37,"Seedhouse A J & Cross C","Ham Scouts & ","K2 Senior",06:20:41,6.33,.
A,1990,38,"Seward D & Quinton Stuart","Adventure Dolphin","K2 Senior",02:10:03,2.17,.
A,1990,38,"Bevan G","Leaside & ","K1 Senior",02:26:59,2.43,.
B,1990,38,"Hewitt J & Ross G","Independent & ","K2 Senior",03:02:36,3.03,.
C,1990,38,"Hoadley S & Humphries T","Maidstone ","K2 Senior",03:48:04,3.80,.
D,1990,38,"Mountney R & Adam G","Metropolitan Police & ","K2 Senior",06:23:05,6.38,.
A,1990,39,"Woolsey R K & Stainsby J","Metropolitan Police","K2 Senior",02:10:07,2.17,.
A,1990,39,"Griffiths P","Pangbourne & ","K1 Senior",02:30:55,2.50,.
B,1990,39,"Seward D & Quinton Stuart","Adventure Dolphin","K2 Senior",03:02:55,3.03,.
C,1990,39,"Sands C & Dawes S","Bristol  & ","K2 Senior",03:49:08,3.82,.
D,1990,39,"Lodge T & Frazer",Raf,"K2 Senior",06:23:20,6.38,.
A,1990,40,"Shortman P J & West P J",Westel,"K2 Senior",02:10:59,2.17,.
A,1990,40,"Lincoln K J","Wokingham Scouts & ","K1 Senior",02:31:24,2.52,.
B,1990,40,"Hillyer D & Mochan C S","Rn/Rm & ","K2 Senior",03:03:58,3.05,.
C,1990,40,"Hayward M & Smart J","Independent & ","K2 Senior",03:49:34,3.82,.
D,1990,40,"Wells M & Cramer D","Plymouth Poly  & ","K2 Senior",06:23:54,6.38,.
A,1990,41,"Nash C M & Peaile S","Independent & ","K2 Senior",02:11:59,2.18,.
A,1990,41,"Banks S W","Hemel Hempstead ","K1 Senior",02:35:26,2.58,.
B,1990,41,"Sands C & Dawes S","Bristol  & ","K2 Senior",03:04:44,3.07,.
C,1990,41,"Davies J & Toulmine M","Ctc & ","K2 Senior",03:49:44,3.82,.
D,1990,41,"Toomey Paul & Badger J F","Longridge & ","K2 Senior",06:24:15,6.40,.
A,1990,42,"Taylor M B & Taylor I R","Woodmill  & ","K2 Senior",02:12:00,2.20,.
A,1990,42,"Ashby G",Longridge,"K1 Senior",02:38:32,2.63,.
B,1990,42,"Kershaw-Naylor & Speer","Rmcs ","K2 Senior",03:06:39,3.10,.
C,1990,42,"Lodge T","Raf & ","K2 Senior",03:50:29,3.83,.
D,1990,42,"Green D & Smith R","Cambridge  & ","K2 Senior",06:24:37,6.40,.
A,1990,43,"Harte J & Courtier I","Independent & ","K2 Senior",02:12:58,2.20,.
A,1990,43,"Rive R","Marlow  & ","K1 Senior",02:40:29,2.67,.
B,1990,43,"Lodge T","Raf & ","K2 Senior",03:08:06,3.13,.
C,1990,43,"Broomfield T","Princess Marina Col. & ","K2 Senior",03:50:33,3.83,.
D,1990,43,"Rogers T & Rogers P G",Independent,"K2 Senior",06:25:40,6.42,.
A,1990,44,"Bryan T J & Hany M",Windsor,"K2 Senior",02:13:31,2.22,.
A,1990,44,"Dark Alison","Bradford On Avon & ","K1 Senior",02:48:58,2.80,.
B,1990,44,"Underwood N & Stinton S","Independent & ","K2 Senior",03:08:40,3.13,.
C,1990,44,"Jagger Roger","Reme  & ","K2 Senior",03:50:35,3.83,.
D,1990,44,"Sheath P N & Niblett B W","Avon Adventure Spts","K2 Senior",06:27:18,6.45,.
A,1990,45,"Hoadley S & Humphries T","Maidstone  & ","K2 Senior",02:13:46,2.22,.
A,1990,45,"Elsmore J P","Barking & Dagenham & ","K1 Senior",02:58:32,2.97,.
B,1990,45,"Pigdon J M & Child M","Bridgend & ","K2 Senior",03:11:09,3.18,.
C,1990,45,"Ward & Hoirahawwe","Rmcs ","K2 Senior",03:50:39,3.83,.
D,1990,45,"Finch S & Dunn A","Thamesway & ","K2 Senior",06:28:00,6.47,.
A,1990,46,"Sands C & Dawes S","Bristol  & ","K2 Senior",02:13:57,2.22,.
B,1990,46,"Goodall M & Brock P","West Yorks & ","K2 Senior",03:12:00,3.20,.
C,1990,46,"Critchley D & Clarke K J","Rmcs ","K2 Senior",03:50:41,3.83,.
D,1990,46,"Skelhorn D A & Allen P D",Fowey,"K2 Senior",06:33:24,6.55,.
A,1990,47,"Grewcock I P & Ball K R",Recc,"K2 Senior",02:14:10,2.23,.
B,1990,47,"Pillem D & Powle M","Adventure Dolphin & ","K2 Senior",03:12:54,3.20,.
C,1990,47,"Smith M & Toothill C J","Maidstone & ","K2 Senior",03:51:19,3.85,.
D,1990,47,"Mathews G & Metcalf P","Independent & ","K2 Senior",06:33:40,6.55,.
A,1990,48,"Marshall G W & Garland A","Rn/Rm & ","K2 Senior",02:14:47,2.23,.
B,1990,48,"Honaker S P & Howe B A","Winchester & ","K2 Senior",03:13:03,3.22,.
C,1990,48,"Richardson H A","Guards Advt Trg Wng","K2 Senior",03:51:31,3.85,.
D,1990,48,"Ashcroft A P & Norman M","Royston Young Cst","K2 Senior",06:35:36,6.58,.
A,1990,49,"Sackman David & Hinton C","R.L.P.  & ","K2 Senior",02:14:51,2.23,.
B,1990,49,"Mill D & Wilde R","Newbury  & ","K2 Senior",03:17:14,3.28,.
C,1990,49,"Hewitt J & Ross G","Independent & ","K2 Senior",03:51:45,3.85,.
D,1990,49,"Fallsen D & Lee S","Rn/Rm & ","K2 Senior",06:37:30,6.62,.
A,1990,50,"Davis J P & Stewart A D",Rn/Rm,"K2 Senior",02:15:31,2.25,.
B,1990,50,"English Lisa Hannah & Eaton Robert",Rn/Rm,"K2 Senior",03:18:50,3.30,.
C,1990,50,"Oliver K & Chapman N","Warren  & ","K2 Senior",03:52:41,3.87,.
D,1990,50,"Jackson P1 & Moss T","12 Ad Regt","K2 Senior",06:40:15,6.67,.
A,1990,51,"Critchley D & Clarke K J","Rmcs ","K2 Senior",02:16:28,2.27,.
B,1990,51,"Jagger Roger","Reme  & ","K2 Senior",03:19:02,3.32,.
C,1990,51,"Underwood N & Stinton S","Independent & ","K2 Senior",03:55:45,3.92,.
D,1990,51,"Hewitt J & Ross G","Independent & ","K2 Senior",06:43:21,6.72,.
A,1990,52,"Lodge T & Frazer",Raf,"K2 Senior",02:16:31,2.27,.
B,1990,52,"Oliver E K & Essex R","Warren & ","K2 Senior",03:20:09,3.33,.
C,1990,52,"Anderson P & Willliams C","Chelmsford  & ","K2 Senior",03:56:49,3.93,.
D,1990,52,"Trelease R & Hadley C","Devon Fire & Rescue & ","K2 Senior",06:46:09,6.77,.
A,1990,53,"McArthur J & Kingham P",Rnka,"K2 Senior",02:17:01,2.28,.
B,1990,53,"Bushell R D & Heath M",Winchester,"K2 Senior",03:20:57,3.33,.
C,1990,53,"Proctor A J & Pike C","Exe Vale  & ","K2 Senior",03:57:05,3.95,.
D,1990,53,"Hedgecoe M & Hutchinson J","Independent & ","K2 Senior",06:50:44,6.83,.
A,1990,54,"Feldmanis E & Milner C","Reme  & ","K2 Senior",02:17:25,2.28,.
B,1990,54,"Stowell M & Bull C","Independent & ","K2 Senior",03:21:25,3.35,.
C,1990,54,"Seedhouse A J & Cross C","Ham Scouts & ","K2 Senior",03:57:15,3.95,.
D,1990,54,"Reavill ASTJ & Price N","12 Ad Regt Ra & ","K2 Senior",06:50:55,6.83,.
A,1990,55,"Gilby P S & Davies M L",Rn/Rm,"K2 Senior",02:19:00,2.32,.
B,1990,55,"Nicholson Leon & Aylett L","Cross House  & ","K2 Senior",03:21:48,3.35,.
C,1990,55,"Honaker S P & Howe B A","Winchester & ","K2 Senior",03:57:19,3.95,.
D,1990,55,"Hall M & Hall J","Longridge & ","K2 Senior",06:52:57,6.87,.
A,1990,56,"Goodall M & Brock P","West Yorks & ","K2 Senior",02:19:10,2.32,.
B,1990,56,"Hall M & Hall J","Longridge & ","K2 Senior",03:25:17,3.42,.
C,1990,56,"Wells M & Cramer D","Plymouth Poly  & ","K2 Senior",03:59:55,3.98,.
D,1990,56,"Hynds K M & Dale S","Elmbridge & ","K2 Senior",06:53:32,6.88,.
A,1990,57,"Ward & Hoirahawe","Rmcs ","K2 Senior",02:19:17,2.32,.
B,1990,57,"Hedgecoe M & Hutchinson J","Independent & ","K2 Senior",03:27:07,3.45,.
C,1990,57,"Finch S & Dunn A","Thamesway & ","K2 Senior",04:00:27,4.00,.
D,1990,57,"Pretty F C & Deapaties A","Hms Dolphin/Rnka & ","K2 Senior",07:20:51,7.33,.
A,1990,58,"Broomfield T","Princess Marina Col. & ","K2 Senior",02:19:42,2.32,.
B,1990,58,"Mccarthy T & Rees M","Cambrian/N Yorks P. & ","K2 Senior",03:27:55,3.45,.
C,1990,58,"Adams S & Carr M","Independent & ","K2 Senior",04:04:28,4.07,.
D,1990,58,"Taylor M & Macmillan R","Independent & ","K2 Senior",07:24:22,7.40,.
A,1990,59,"Hewitt J & Ross G","Independent & ","K2 Senior",02:20:01,2.33,.
B,1990,59,"O’Toole P & Salmon J","Metropolitan Police & ","K2 Senior",03:31:13,3.52,.
C,1990,59,"Williams D & Rermarshal P","Independent & ","K2 Senior",04:04:56,4.07,.
D,1990,59,"Filler A & Ryan A","Artists Rifles & ","K2 Senior",07:29:38,7.48,.
A,1990,60,"Honaker S P & Howe B A","Winchester & ","K2 Senior",02:20:48,2.33,.
B,1990,60,"Proctor A J & Pike C","Exe Vale  & ","K2 Senior",03:35:28,3.58,.
C,1990,60,"Mill D & Wilde R","Newbury  & ","K2 Senior",04:06:42,4.10,.
D,1990,60,"Stowell M & Bull C","Independent & ","K2 Senior",07:41:20,7.68,.
A,1990,61,"Underwood N & Stinton S","Independent & ","K2 Senior",02:21:20,2.35,.
B,1990,61,"Hynda K & Dale S","Elmbridge & ","K2 Senior",03:41:41,3.68,.
C,1990,61,"Stowell M & Bull C","Independent & ","K2 Senior",04:11:10,4.18,.
